easy_problems_solved,medium_problems_solved,hard_problems_solved,easy_problems_given,medium_problems_given,hard_problems_given,total_problems_given,total_problems_solved,next_easy,next_medium,next_hard
12,12,1,14,24,6,44,25,1,25,8
14,5,10,18,16,13,47,29,1,15,3
6,9,3,15,23,7,45,18,3,21,7
9,13,14,23,17,14,54,36,3,26,2
2,13,1,15,18,13,46,16,5,26,10
20,3,7,28,11,8,47,30,2,12,2
1,14,2,14,15,14,43,17,5,27,8
4,10,1,10,11,7,28,15,4,22,9
11,5,5,20,15,15,50,21,3,15,7
11,1,11,19,17,15,51,23,2,9,3
7,11,4,27,17,5,49,22,4,24,3
6,20,12,29,21,13,63,38,5,36,2
12,2,1,29,15,5,49,15,3,11,9
19,17,1,23,24,8,55,37,1,32,9
3,18,0,29,20,9,58,21,5,33,10
17,17,6,29,18,13,60,40,2,32,6
23,2,12,25,22,14,61,37,1,11,2
5,17,3,16,25,11,52,25,4,32,7
9,10,6,14,12,7,33,25,2,22,2
5,9,0,10,16,12,38,14,3,21,10
0,1,11,20,17,15,52,12,6,9,3
29,5,9,30,11,13,54,43,1,15,3
11,4,14,26,12,14,52,29,4,14,2
9,2,4,14,10,10,34,15,2,11,6
10,15,3,29,23,15,67,28,4,29,8
2,16,13,26,22,15,63,31,5,30,2
11,6,7,20,24,11,55,24,2,17,4
19,12,5,19,14,12,45,36,1,24,6
9,5,6,10,24,11,45,20,1,15,5
13,24,1,21,24,6,51,38,2,41,9
0,11,0,17,17,6,40,11,6,23,10
11,6,5,11,19,6,36,22,1,16,3
11,1,2,22,19,13,54,14,3,10,8
15,2,5,15,18,8,41,22,1,11,4
15,1,12,18,23,12,53,28,1,10,2
16,15,5,19,19,11,49,36,1,29,5
2,1,11,28,13,13,54,14,5,9,2
12,6,8,13,24,15,52,26,1,17,5
3,2,0,22,23,5,50,5,5,11,10
10,10,1,10,17,7,34,21,1,22,9
11,11,8,14,24,9,47,30,1,23,2
8,0,0,24,19,5,48,8,4,8,10
5,1,0,23,14,8,45,6,5,10,10
12,18,3,30,18,12,60,33,4,33,8
17,14,1,26,23,5,54,32,2,28,9
9,12,3,16,21,7,44,24,3,25,6
11,8,3,11,18,5,34,22,1,19,5
1,5,3,17,13,5,35,9,6,15,5
7,4,6,18,24,12,54,17,3,14,5
10,5,3,25,12,9,46,18,3,15,7
13,12,5,20,13,7,40,30,2,25,3
6,6,6,18,10,7,35,18,4,16,2
3,5,0,30,11,8,49,8,5,15,10
7,15,13,11,24,15,50,35,2,29,2
16,12,4,21,22,5,48,32,2,25,4
11,2,1,18,18,11,47,14,2,11,10
2,22,4,28,24,11,63,28,5,39,7
7,8,5,20,23,13,56,20,4,19,7
17,1,5,28,24,14,66,23,2,9,6
17,1,0,21,17,7,45,18,1,9,10
12,19,0,16,23,8,47,31,1,35,10
3,9,5,19,13,10,42,17,5,21,6
1,9,2,29,21,7,57,12,6,21,8
9,0,4,21,14,12,47,13,3,8,7
11,0,3,14,17,6,37,14,1,8,6
17,7,11,20,10,13,43,35,1,18,2
23,4,0,23,14,12,49,27,1,14,10
10,15,11,13,18,12,43,36,1,29,2
7,8,4,30,23,6,59,19,4,19,4
13,10,9,29,19,9,57,32,3,22,2
4,11,0,12,12,6,30,15,4,23,10
1,9,4,11,25,8,44,14,5,20,5
10,1,3,10,25,13,48,14,1,10,8
17,4,1,26,16,10,52,22,2,14,9
18,1,7,18,17,8,43,26,1,10,2
20,12,5,29,16,13,58,37,2,25,6
11,3,9,11,19,14,44,23,1,12,4
2,12,7,17,21,12,50,21,5,25,5
6,0,4,15,25,7,47,10,4,8,5
6,9,2,24,17,11,52,17,4,20,8
14,11,0,14,11,15,40,25,1,23,10
18,7,2,19,18,6,43,27,1,18,7
5,12,1,13,19,9,41,18,4,25,9
8,4,3,29,16,5,50,15,4,14,5
10,9,4,28,12,6,46,23,4,21,5
3,5,8,29,14,15,58,16,5,15,5
25,19,2,26,24,12,62,46,1,35,8
7,10,0,30,10,12,52,17,5,22,10
11,9,1,24,24,13,61,21,3,20,9
11,1,7,23,17,11,51,19,3,9,5
20,5,2,23,12,14,49,27,1,15,9
12,2,1,18,25,5,48,15,2,11,8
7,18,1,15,18,7,40,26,3,33,9
17,4,4,29,22,7,58,25,3,14,5
7,15,12,21,15,12,48,34,4,29,2
8,20,4,26,21,7,54,32,4,36,5
1,8,7,12,13,13,38,16,5,19,5
0,5,3,18,23,9,50,8,6,15,7
5,8,1,10,15,10,35,14,3,19,9
0,4,6,16,19,10,45,10,6,14,4
7,20,5,26,22,6,54,32,4,36,3
16,12,1,29,14,10,53,29,3,24,9
18,7,14,22,18,14,54,39,1,18,2
3,1,0,25,18,8,51,4,5,9,10
27,9,5,30,19,13,62,41,1,21,7
2,12,11,13,22,13,48,25,5,25,2
17,17,7,17,23,8,48,41,1,32,2
0,3,4,17,20,14,51,7,6,12,7
7,20,6,10,22,14,46,33,2,36,6
9,10,7,12,14,7,33,26,2,22,2
20,5,9,27,10,10,47,34,2,15,2
14,10,7,19,19,12,50,31,2,22,5
28,4,11,28,15,11,54,43,1,14,2
27,14,0,30,17,9,56,41,1,28,10
5,0,2,10,11,14,35,7,3,8,8
7,12,8,19,21,12,52,27,4,24,4
6,10,4,15,16,5,36,20,4,22,4
4,20,10,10,21,10,41,34,4,36,2
6,16,5,21,19,6,46,27,4,30,3
13,8,3,18,15,9,42,24,2,19,7
5,1,4,23,14,11,48,10,4,9,6
10,14,1,23,17,5,45,25,3,28,9
0,3,1,14,25,13,52,4,6,12,9
4,1,11,10,13,12,35,16,4,10,2
13,11,0,23,14,13,50,24,2,23,10
9,5,0,23,24,9,56,14,4,15,10
5,11,13,15,13,13,41,29,4,23,2
2,5,4,29,12,10,51,11,5,15,6
11,16,1,14,22,10,46,28,1,31,9
23,8,8,28,13,9,50,39,1,19,2
12,9,6,23,24,14,61,27,3,20,6
18,1,5,21,16,8,45,24,1,10,4
21,13,3,30,23,5,58,37,2,27,5
17,3,6,29,19,13,61,26,3,12,6
5,15,0,10,15,9,34,20,3,29,10
28,2,1,29,22,10,61,31,1,11,9
0,2,5,12,19,10,41,7,6,11,5
14,11,7,15,25,9,49,32,1,23,3
16,7,10,23,25,12,60,33,2,18,2
6,14,1,23,16,5,44,21,4,27,9
11,10,11,16,22,13,51,32,2,22,2
13,6,14,25,19,15,59,33,3,16,2
2,9,5,11,24,7,42,16,5,20,4
8,6,3,11,10,7,28,17,2,16,7
1,20,3,13,23,15,51,24,5,36,8
0,10,2,11,17,5,33,12,6,22,7
0,13,1,17,18,10,45,14,6,26,9
6,12,10,14,21,10,45,28,3,24,2
1,6,4,30,12,6,48,11,5,17,4
2,9,6,17,24,10,51,17,5,20,4
14,8,2,20,11,6,37,24,2,19,7
8,1,3,25,20,7,52,12,4,9,6
1,0,7,10,14,12,36,8,5,8,5
4,12,2,16,17,5,38,18,4,24,7
7,1,8,21,12,10,43,16,4,10,3
9,6,3,22,12,5,39,18,3,17,5
20,0,2,27,13,11,51,22,2,8,8
6,8,0,11,23,7,41,14,3,19,10
0,19,4,29,22,9,60,23,6,35,6
4,16,7,10,25,14,49,27,4,31,6
5,23,1,15,25,8,48,29,4,40,8
8,12,1,10,15,7,32,21,1,25,8
5,6,0,24,12,7,43,11,5,17,10
16,22,5,28,23,8,59,43,3,39,4
1,7,2,11,12,5,28,10,5,18,7
7,7,2,21,24,10,55,16,4,18,8
7,5,2,28,18,9,55,14,4,15,8
22,15,9,22,18,10,50,46,1,29,2
22,9,5,27,16,11,54,36,1,21,6
2,12,3,21,13,12,46,17,5,25,8
17,11,3,24,11,5,40,31,2,23,5
4,14,9,11,14,10,35,27,4,27,2
6,3,6,23,17,10,50,15,4,12,5
18,2,5,30,17,6,53,25,2,11,2
3,16,0,13,17,5,35,19,4,30,10
6,15,4,23,24,10,57,25,4,29,6
2,20,3,15,23,7,45,25,5,36,6
14,14,5,16,20,10,46,33,1,28,6
13,0,0,28,12,9,49,13,3,8,10
2,13,2,25,13,9,47,17,6,27,8
14,11,0,24,16,8,48,25,2,23,10
1,11,6,29,25,11,65,18,5,24,5
2,7,11,10,10,12,32,20,5,18,2
5,0,1,20,11,9,40,6,4,8,9
13,9,3,24,24,7,55,25,3,21,6
13,14,8,20,20,15,55,35,2,28,5
4,11,15,21,16,15,52,30,5,24,2
17,18,4,17,24,15,56,39,1,33,7
6,10,3,20,24,7,51,19,4,22,6
11,18,8,17,25,9,51,37,2,33,2
0,13,1,26,25,8,59,14,6,27,9
3,14,4,17,18,6,41,21,5,28,5
11,3,5,28,23,5,56,19,4,12,2
11,10,1,27,19,8,54,22,3,22,8
6,14,6,13,15,6,34,26,3,27,2
3,7,1,21,12,7,40,11,5,18,9
14,6,6,17,13,15,45,26,1,17,6
8,8,2,19,15,8,42,18,3,19,8
9,12,2,23,15,5,43,23,3,25,7
13,3,5,16,14,13,43,21,1,13,7
12,1,7,14,25,10,49,20,1,9,4
12,11,1,15,19,8,42,24,1,23,9
8,12,5,17,19,6,42,25,3,25,3
0,6,5,24,16,6,46,11,6,16,3
8,6,1,11,13,13,37,15,2,16,10
11,17,0,21,17,12,50,28,3,32,10
16,8,5,29,21,7,57,29,2,19,4
3,7,0,14,25,8,47,10,4,18,10
4,1,9,12,12,10,34,14,4,10,2
7,9,2,12,10,6,28,18,3,21,7
25,1,14,28,11,14,53,40,1,9,2
0,4,8,10,12,11,33,12,6,13,4
12,16,4,12,24,14,50,32,1,30,8
4,0,1,11,13,7,31,5,4,8,8
26,15,1,29,18,8,55,42,1,29,9
2,5,7,28,21,7,56,14,5,15,2
5,15,5,10,24,7,41,25,3,29,4
2,16,7,25,24,8,57,25,5,31,2
2,9,9,14,20,9,43,20,5,21,2
14,7,3,16,12,7,35,24,1,18,6
6,9,5,18,17,10,45,20,4,21,5
18,12,6,19,23,9,51,36,1,25,4
11,5,8,17,11,9,37,24,2,15,2
4,12,4,15,14,6,35,20,4,24,4
7,6,5,24,11,8,43,18,4,16,5
5,1,2,17,18,9,44,8,4,10,8
17,11,1,20,14,6,40,29,1,23,9
15,20,6,18,20,12,50,41,1,36,6
18,6,3,21,22,14,57,27,1,17,8
5,13,5,15,16,11,42,23,4,27,6
24,13,0,29,15,8,52,37,1,27,10
4,10,7,26,11,7,44,21,5,22,2
19,14,3,27,16,5,48,36,2,28,5
1,4,5,15,18,8,41,10,5,13,5
2,5,6,15,14,7,36,13,5,15,3
14,5,5,15,15,10,40,24,1,15,5
22,5,2,30,20,7,57,29,2,15,7
3,2,8,28,12,13,53,13,5,11,4
5,14,7,10,14,11,35,26,3,28,4
4,0,2,17,13,7,37,6,5,8,8
7,3,0,14,14,5,33,10,3,12,10
17,12,0,29,16,7,52,29,2,25,10
10,3,5,12,15,9,36,18,1,13,5
7,6,7,17,12,11,40,20,3,16,4
18,0,10,23,11,14,48,28,1,8,3
2,18,3,14,21,14,49,23,5,33,8
3,2,5,27,21,11,59,10,5,11,6
4,13,10,10,14,14,38,27,4,26,3
6,18,4,28,18,10,56,28,5,34,6
15,11,6,16,11,13,40,32,1,24,5
14,8,12,28,16,13,57,34,3,19,2
10,19,8,15,25,14,54,37,2,35,5
10,4,0,18,13,15,46,14,3,13,10
13,6,0,22,15,8,45,19,3,17,10
16,11,11,17,22,15,54,38,1,24,3
2,14,4,10,16,12,38,20,4,27,7
3,17,11,15,20,11,46,31,4,32,2
4,7,3,13,15,12,40,14,4,17,7
3,13,7,14,13,12,39,23,4,26,5
9,1,14,12,25,15,52,24,2,9,2
7,10,3,15,18,8,41,20,3,22,7
26,2,9,29,13,12,54,37,1,11,3
17,6,1,29,19,7,55,24,3,16,9
1,2,7,20,21,11,52,10,5,11,4
10,14,3,30,21,8,59,27,4,27,6
20,1,7,26,14,8,48,28,1,10,3
26,11,9,30,23,11,64,46,1,23,3
1,6,2,23,12,5,40,9,5,17,7
12,6,9,13,15,10,38,27,1,16,2
15,13,0,20,22,5,47,28,1,27,10
4,17,0,18,19,7,44,21,4,32,10
4,15,2,24,25,5,54,21,5,29,6
4,7,3,13,24,7,44,14,4,17,7
25,3,4,27,20,5,52,32,1,12,3
12,17,6,14,19,9,42,35,1,32,4
0,15,3,25,20,10,55,18,6,29,7
1,7,4,12,21,8,41,12,6,18,6
18,7,8,18,20,11,49,33,1,17,3
2,15,8,18,20,8,46,25,5,29,2
11,3,0,12,11,11,34,14,1,13,10
3,2,7,24,11,13,48,12,5,11,5
8,9,1,13,10,5,28,18,2,20,8
3,1,0,29,20,10,59,4,5,10,10
22,1,12,23,19,13,55,35,1,9,2
8,10,9,25,14,12,51,27,4,22,3
20,5,3,28,19,7,54,28,2,15,7
25,6,14,26,23,14,63,45,1,17,2
12,0,6,20,24,14,58,18,2,8,6
0,6,3,16,10,6,32,9,6,16,6
8,6,5,12,19,12,43,19,2,16,6
10,1,5,12,18,13,43,16,1,9,6
1,0,7,15,15,11,41,8,5,8,4
11,8,5,13,10,7,30,24,1,19,4
5,0,11,18,13,13,44,16,4,8,3
25,13,5,25,16,9,50,43,1,26,5
21,2,10,21,25,10,56,33,1,11,2
1,9,2,29,13,5,47,12,6,21,7
9,13,14,11,13,14,38,36,1,26,2
10,1,2,18,13,11,42,13,3,9,9
0,7,7,22,13,11,46,14,6,18,4
4,14,1,11,25,5,41,19,4,27,9
7,1,2,16,20,13,49,10,3,9,9
2,14,9,15,20,9,44,25,5,27,2
11,9,10,29,14,10,53,30,3,20,2
17,4,10,17,12,10,39,31,1,13,2
8,9,11,12,24,11,47,28,2,20,2
19,2,7,25,10,12,47,28,1,11,5
5,14,2,11,23,6,40,21,3,27,7
2,0,11,19,19,12,50,13,5,8,2
1,13,6,13,17,14,44,20,5,27,6
19,9,4,25,22,14,61,32,1,21,7
11,10,7,27,10,7,44,28,4,22,2
5,4,5,15,22,8,45,14,4,13,5
4,1,3,11,10,15,36,8,4,10,8
1,16,1,17,20,10,47,18,5,31,9
26,7,5,26,25,8,59,38,1,18,5
15,0,2,28,17,7,52,17,2,8,7
13,3,1,19,13,11,43,17,2,12,10
7,8,1,14,19,5,38,16,3,20,8
1,10,8,30,11,14,55,19,6,22,5
12,11,7,21,20,11,52,30,2,24,4
18,15,1,28,22,15,65,34,2,29,10
8,18,3,24,24,8,56,29,4,33,6
3,0,4,11,23,14,48,7,4,8,8
15,25,9,22,25,14,61,49,2,43,4
1,5,8,24,24,11,59,14,5,15,3
22,15,5,28,22,7,57,42,1,29,3
7,10,8,10,18,9,37,25,2,22,2
14,9,2,29,16,10,55,25,3,21,9
1,13,9,25,23,15,63,23,6,27,5
16,7,5,20,20,12,52,28,1,17,6
18,10,6,18,24,15,57,34,1,22,6
11,14,0,24,25,7,56,25,3,28,10
5,5,3,12,18,11,41,13,3,15,7
6,17,2,28,21,8,57,25,5,32,8
7,11,9,27,19,13,59,27,4,23,4
21,2,3,30,13,10,53,26,2,11,7
14,2,10,15,11,12,38,26,1,11,2
5,3,0,12,15,9,36,8,3,12,10
20,0,4,21,12,11,44,24,1,8,7
15,8,7,29,16,8,53,30,3,19,2
18,1,5,26,22,8,56,24,2,10,4
6,5,0,11,17,7,35,11,3,15,10
0,9,11,11,22,11,44,20,6,21,2
14,22,5,26,23,5,54,41,3,39,2
17,16,2,20,19,7,46,35,1,31,7
24,14,1,30,19,10,59,39,1,28,9
10,19,9,22,21,9,52,38,3,35,2
15,2,6,25,14,6,45,23,2,11,2
15,3,5,17,14,14,45,23,1,12,7
7,14,12,15,14,14,43,33,3,28,2
6,0,0,13,21,5,39,6,3,8,10
2,18,1,15,19,7,41,21,5,34,9
11,9,0,24,13,9,46,20,3,21,10
12,0,1,20,11,13,44,13,2,8,9
7,8,10,16,12,11,39,25,3,19,2
16,10,7,19,17,10,46,33,1,22,3
8,9,9,12,13,14,39,26,2,20,4
0,2,6,10,12,6,28,8,6,11,2
0,7,4,14,10,9,33,11,6,18,6
1,4,7,19,16,8,43,12,6,13,2
4,4,11,25,15,15,55,19,5,13,3
17,2,6,30,14,10,54,25,3,11,4
12,7,0,20,11,12,43,19,3,18,10
1,15,6,11,16,10,37,22,5,29,5
10,7,4,15,15,11,41,21,2,18,7
6,0,0,11,13,7,31,6,3,8,10
15,8,6,30,25,15,70,29,3,20,7
1,1,13,24,23,14,61,15,6,9,2
11,12,4,11,18,14,43,27,1,25,7
2,8,10,19,19,10,48,20,5,20,2
3,21,8,18,21,10,49,32,5,38,3
3,20,12,28,24,14,66,35,5,36,2
2,1,1,23,19,11,53,4,5,10,9
14,17,5,18,19,15,52,36,1,32,7
16,2,10,25,19,15,59,28,2,11,3
9,17,6,13,25,7,45,32,2,31,2
8,13,12,15,21,15,51,33,3,27,2
16,7,11,20,17,13,50,34,1,18,2
13,13,7,30,17,10,57,33,3,26,3
1,5,8,13,21,13,47,14,5,15,4
4,7,5,12,12,9,33,16,4,18,5
10,13,6,23,15,9,47,29,3,27,4
12,17,0,15,19,10,44,29,1,32,10
10,9,8,25,25,9,59,27,4,21,2
5,5,4,14,20,9,43,14,4,15,6
10,6,0,19,15,9,43,16,3,16,10
15,16,15,23,18,15,56,46,2,30,2
11,23,6,15,24,6,45,40,1,40,2
0,20,2,28,20,9,57,22,6,36,8
10,17,3,12,17,6,35,30,1,32,6
11,6,2,13,14,6,33,19,1,16,7
19,12,10,29,13,11,53,41,2,25,2
10,19,0,25,22,7,54,29,3,35,10
11,0,6,26,13,8,47,17,4,8,4
4,8,8,12,18,13,43,20,4,19,5
14,7,7,21,23,12,56,28,2,18,5
21,0,8,23,22,10,55,29,1,8,3
9,20,3,26,24,8,58,32,4,36,6
18,12,1,30,16,9,55,31,2,25,9
2,9,2,11,11,13,35,13,5,21,8
12,13,6,28,21,7,56,31,3,26,3
12,17,11,30,18,12,60,40,3,32,2
2,9,3,27,19,7,53,14,5,21,6
0,4,3,12,13,5,30,7,6,14,5
3,14,3,10,20,5,35,20,4,27,5
19,5,0,23,12,10,45,24,1,15,10
15,4,8,25,14,10,49,27,2,13,3
19,11,2,24,20,6,50,32,1,24,7
18,15,5,19,15,7,41,38,1,29,4
6,10,1,24,17,6,47,17,4,22,9
9,6,7,28,22,12,62,22,4,16,5
1,19,5,10,20,6,36,25,5,34,3
4,8,3,14,16,8,38,15,4,20,7
7,4,1,10,24,5,39,12,2,14,9
15,17,13,18,24,15,57,45,1,32,2
5,8,8,29,14,11,54,21,5,19,3
21,9,8,27,16,8,51,38,1,20,2
13,6,3,14,13,7,34,22,1,16,6
19,9,1,26,14,8,48,29,2,21,9
8,10,3,19,13,8,40,21,4,22,7
18,4,0,18,24,11,53,22,1,14,10
4,6,11,10,10,15,35,21,4,17,3
7,21,5,13,24,6,43,33,3,38,3
9,11,5,15,17,15,47,25,2,23,7
4,8,8,10,14,10,34,20,4,19,3
21,1,5,22,17,10,49,27,1,10,6
26,1,5,26,10,9,45,32,1,9,5
14,0,2,27,20,5,52,16,3,8,7
11,21,11,17,23,15,55,43,2,37,3
3,14,1,14,15,9,38,18,5,27,9
1,15,12,13,25,14,52,28,5,29,2
21,11,5,22,23,15,60,37,1,24,7
0,13,8,13,20,10,43,21,6,26,3
8,22,0,12,25,6,43,30,2,39,10
2,0,8,13,18,14,45,10,5,8,4
4,0,5,17,10,6,33,9,4,8,3
6,16,5,10,19,8,37,27,3,30,5
17,11,0,23,17,5,45,28,2,23,10
14,4,8,26,22,9,57,26,3,14,2
13,3,3,23,10,5,38,19,2,12,5
11,6,10,11,10,11,32,27,1,16,2
0,4,1,29,11,9,49,5,6,14,9
16,23,3,28,24,6,58,42,2,40,6
2,8,5,14,14,7,35,15,5,20,4
7,1,6,21,10,14,45,14,4,9,6
13,4,6,23,13,8,44,23,2,13,4
10,2,10,19,16,11,46,22,3,11,2
22,4,2,25,23,13,61,28,1,14,9
14,11,3,14,13,8,35,28,1,23,7
24,9,10,26,15,15,56,43,1,21,4
14,5,4,15,23,12,50,23,1,15,7
11,3,5,16,13,10,39,19,2,12,6
4,0,11,20,11,12,43,15,4,8,2
14,11,0,23,11,5,39,25,2,23,10
17,4,2,17,20,12,49,23,1,14,8
20,6,4,24,22,8,54,30,1,16,6
6,7,1,20,11,12,43,14,4,18,9
16,19,9,27,21,14,62,44,2,35,4
9,13,0,11,17,12,40,22,1,26,10
4,0,0,25,11,7,43,4,5,8,10
3,11,4,25,19,8,52,18,5,23,5
2,4,1,17,24,7,48,7,5,14,9
4,15,9,18,15,11,44,28,4,29,2
10,9,7,26,14,10,50,26,4,21,4
24,6,0,27,16,7,50,30,1,17,10
2,7,2,18,25,7,50,11,5,18,7
0,2,3,11,13,8,32,5,6,11,7
0,0,2,24,16,15,55,2,6,8,9
27,9,10,28,18,11,57,46,1,21,2
2,18,9,11,19,9,39,29,5,33,2
3,10,1,25,14,10,49,14,5,22,9
26,4,3,29,13,15,57,33,1,13,8
2,11,3,20,12,13,45,16,5,24,7
5,14,1,12,16,13,41,20,3,28,9
21,3,4,23,18,6,47,28,1,12,4
9,11,4,25,18,5,48,24,4,23,3
5,6,5,17,12,5,34,16,4,16,2
1,5,8,26,14,8,48,14,6,15,2
10,9,14,25,19,14,58,33,3,21,2
8,4,0,21,24,8,53,12,4,13,10
5,19,4,28,24,6,58,28,5,34,4
13,18,1,24,21,10,55,32,3,33,9
13,5,13,20,23,14,57,31,2,15,2
23,1,1,30,13,14,57,25,1,10,9
27,18,7,30,18,8,56,52,1,33,2
2,2,7,12,23,8,43,11,5,11,2
23,9,0,28,10,9,47,32,1,20,10
5,15,6,18,19,6,43,26,4,29,2
10,4,9,30,17,13,60,23,4,13,3
5,9,10,21,10,14,45,24,4,20,4
11,0,5,23,16,14,53,16,3,8,6
19,2,4,19,11,12,42,25,1,11,7
19,11,4,20,12,13,45,34,1,24,7
0,11,1,29,14,6,49,12,6,24,9
3,4,5,22,11,11,44,12,5,14,6
13,4,4,16,14,5,35,21,1,14,3
1,3,6,22,21,13,56,10,6,12,6
19,12,5,29,17,13,59,36,2,24,6
2,9,11,10,16,13,39,22,5,21,2
4,6,8,26,23,11,60,18,5,16,3
8,0,8,29,10,9,48,16,4,8,2
17,18,11,18,19,14,51,46,1,33,3
6,22,10,26,25,13,64,38,5,39,2
10,9,7,18,11,12,41,26,2,20,4
23,1,0,23,21,9,53,24,1,9,10
27,7,0,27,13,8,48,34,1,18,10
26,3,10,29,21,14,64,39,1,12,3
3,10,11,27,15,14,56,24,5,22,2
21,3,8,23,16,11,50,32,1,12,3
7,2,9,12,14,15,41,18,3,11,4
10,12,15,19,14,15,48,37,3,25,2
10,12,1,19,17,8,44,23,3,25,9
2,10,9,11,12,10,33,21,5,22,2
9,13,0,19,14,10,43,22,3,26,10
17,16,8,22,18,9,49,41,2,31,2
15,5,2,18,23,5,46,22,1,15,6
