topic,level,days_spent,next_topic
greedy,medium,5,dynamic programming
tree,hard,7,binary tree
number theory,medium,5,combinatorics
stack,medium,3,monotonic stack
binary tree,easy,1,depth-first search
segment tree,hard,7,binary indexed tree
sliding window,medium,3,two pointers
string matching,hard,7,rolling hash
segment tree,medium,4,binary indexed tree
segment tree,medium,5,binary indexed tree
math,hard,7,number theory
trie,medium,3,string matching
string,medium,3,hash table
simulation,medium,3,design
recursion,easy,1,divide and conquer
binary search,medium,3,tree
graph theory,easy,2,minimum spanning tree
dynamic programming,medium,5,bitmask
shortest path,easy,2,graph theory
math,medium,4,number theory
math,medium,5,number theory
monotonic stack,medium,4,sliding window
sliding window,medium,3,two pointers
tree,medium,5,binary tree
backtracking,medium,5,recursion
monotonic stack,hard,7,sliding window
math,easy,1,number theory
two pointers,medium,5,array
linked list,hard,7,doubly-linked list
two pointers,easy,1,array
sliding window,hard,6,two pointers
depth-first search,medium,3,breadth-first search
linked list,hard,7,doubly-linked list
bitmask,hard,7,backtracking
hash table,easy,2,tree
breadth-first search,easy,2,graph theory
segment tree,medium,5,binary indexed tree
stack,medium,4,monotonic stack
greedy,easy,2,dynamic programming
sliding window,hard,7,two pointers
array,hard,7,string
rolling hash,easy,2,suffix array
tree,hard,6,graph theory
design,easy,2,system design
monotonic stack,hard,7,sliding window
sliding window,medium,4,two pointers
string,easy,2,sorting
bitmask,medium,5,backtracking
backtracking,easy,1,recursion
binary search,easy,1,tree
design,easy,1,system design
number theory,easy,2,combinatorics
number theory,medium,5,combinatorics
system design,hard,6,concurrency
binary tree,medium,3,depth-first search
dynamic programming,hard,7,bitmask
trie,easy,2,string matching
string matching,hard,7,rolling hash
tree,medium,5,binary tree
binary search,hard,7,graph theory
two pointers,medium,5,array
divide and conquer,easy,2,segment tree
string,easy,2,sorting
array,medium,4,hash table
stack,medium,5,monotonic stack
monotonic stack,easy,2,sliding window
binary tree,medium,3,depth-first search
string matching,hard,7,rolling hash
binary indexed tree,medium,4,range query
monotonic stack,medium,4,sliding window
number theory,hard,7,combinatorics
shortest path,medium,3,graph theory
backtracking,hard,6,recursion
matrix,easy,2,simulation
sorting,hard,7,binary search
simulation,hard,7,design
binary indexed tree,easy,1,range query
simulation,hard,7,design
number theory,easy,1,combinatorics
string,medium,3,hash table
sliding window,hard,7,two pointers
monotonic stack,medium,5,sliding window
string,medium,4,hash table
design,medium,5,system design
binary tree,easy,2,depth-first search
binary search,medium,4,tree
trie,hard,6,string matching
rolling hash,medium,5,suffix array
trie,medium,5,string matching
math,medium,4,number theory
greedy,easy,2,dynamic programming
matrix,hard,7,simulation
math,hard,6,number theory
recursion,medium,3,divide and conquer
matrix,medium,5,simulation
hash table,medium,5,tree
recursion,easy,2,divide and conquer
shortest path,medium,3,graph theory
tree,easy,2,graph theory
string matching,easy,2,rolling hash
string,medium,4,sorting
probability,medium,3,statistics
array,medium,5,string
trie,easy,1,string matching
backtracking,easy,1,recursion
string,easy,2,hash table
binary search,medium,3,graph theory
sorting,easy,2,binary search
trie,medium,4,string matching
graph theory,medium,5,minimum spanning tree
matrix,hard,6,simulation
two pointers,medium,3,array
dynamic programming,hard,6,bitmask
recursion,medium,5,divide and conquer
simulation,hard,6,design
segment tree,hard,6,binary indexed tree
linked list,easy,2,doubly-linked list
recursion,medium,4,divide and conquer
string matching,medium,4,rolling hash
bitmask,medium,3,backtracking
sorting,easy,1,binary search
tree,hard,6,binary tree
sorting,hard,6,binary search
tree,easy,2,graph theory
divide and conquer,medium,4,segment tree
binary search,medium,4,tree
binary tree,medium,4,depth-first search
binary tree,medium,5,depth-first search
concurrency,hard,6,design
shortest path,medium,4,graph theory
linked list,easy,1,doubly-linked list
sliding window,medium,5,two pointers
design,hard,7,system design
two pointers,medium,3,array
sorting,medium,5,binary search
graph theory,easy,1,shortest path
matrix,hard,7,simulation
depth-first search,medium,5,breadth-first search
binary tree,easy,2,depth-first search
probability,hard,6,statistics
tree,easy,1,graph theory
number theory,easy,2,combinatorics
probability,hard,6,statistics
backtracking,medium,3,recursion
math,medium,4,number theory
recursion,medium,5,divide and conquer
binary indexed tree,easy,1,range query
concurrency,medium,3,design
concurrency,hard,6,design
binary indexed tree,medium,3,range query
system design,medium,5,concurrency
monotonic stack,medium,4,sliding window
segment tree,hard,6,binary indexed tree
bitmask,hard,7,backtracking
two pointers,medium,5,array
divide and conquer,medium,3,segment tree
greedy,hard,6,dynamic programming
segment tree,medium,4,binary indexed tree
linked list,easy,2,doubly-linked list
divide and conquer,hard,7,segment tree
recursion,hard,7,divide and conquer
design,medium,3,system design
graph theory,medium,4,shortest path
string matching,medium,3,rolling hash
greedy,medium,5,dynamic programming
design,hard,6,system design
binary indexed tree,easy,1,range query
sliding window,medium,5,two pointers
graph theory,hard,7,shortest path
probability,easy,1,statistics
linked list,medium,4,doubly-linked list
number theory,medium,5,combinatorics
graph theory,hard,6,shortest path
greedy,easy,2,dynamic programming
trie,hard,7,string matching
sliding window,hard,7,two pointers
rolling hash,medium,5,suffix array
array,easy,1,string
string matching,medium,3,rolling hash
monotonic stack,medium,5,sliding window
greedy,hard,6,dynamic programming
sorting,hard,6,greedy
design,medium,3,system design
divide and conquer,easy,1,segment tree
binary indexed tree,medium,5,range query
string matching,easy,1,rolling hash
tree,medium,5,binary tree
shortest path,hard,7,graph theory
hash table,medium,4,tree
greedy,easy,2,dynamic programming
bitmask,hard,7,backtracking
breadth-first search,medium,5,graph theory
monotonic stack,easy,1,sliding window
depth-first search,medium,3,breadth-first search
two pointers,medium,4,array
rolling hash,hard,7,suffix array
segment tree,easy,1,binary indexed tree
binary search,medium,3,graph theory
shortest path,easy,2,graph theory
graph theory,hard,7,minimum spanning tree
sorting,hard,6,greedy
sliding window,medium,4,two pointers
hash table,medium,5,graph theory
array,medium,4,hash table
number theory,hard,6,combinatorics
string matching,hard,7,rolling hash
recursion,easy,1,divide and conquer
combinatorics,medium,4,probability
binary tree,easy,2,depth-first search
sorting,medium,3,greedy
number theory,hard,6,combinatorics
array,hard,6,string
binary search,medium,5,tree
design,easy,1,system design
bitmask,medium,4,backtracking
dynamic programming,medium,5,memoization
shortest path,medium,3,graph theory
graph theory,medium,5,shortest path
greedy,hard,7,dynamic programming
monotonic stack,hard,7,sliding window
trie,medium,3,string matching
segment tree,easy,2,binary indexed tree
two pointers,hard,7,array
linked list,hard,7,doubly-linked list
shortest path,medium,5,graph theory
string matching,easy,1,rolling hash
tree,easy,2,graph theory
sorting,medium,4,binary search
two pointers,medium,3,array
greedy,hard,7,dynamic programming
shortest path,hard,7,graph theory
sliding window,easy,1,two pointers
segment tree,easy,1,binary indexed tree
depth-first search,medium,5,breadth-first search
sliding window,hard,6,two pointers
depth-first search,hard,6,breadth-first search
math,medium,5,number theory
hash table,hard,7,graph theory
linked list,hard,6,doubly-linked list
probability,easy,2,statistics
rolling hash,medium,3,suffix array
divide and conquer,easy,2,segment tree
rolling hash,easy,1,suffix array
design,easy,1,system design
string matching,medium,3,rolling hash
sliding window,easy,1,two pointers
matrix,hard,7,simulation
bitmask,hard,6,backtracking
linked list,easy,2,doubly-linked list
number theory,easy,2,combinatorics
backtracking,easy,1,recursion
sorting,hard,7,greedy
recursion,medium,4,divide and conquer
segment tree,hard,7,binary indexed tree
number theory,hard,6,combinatorics
stack,hard,7,monotonic stack
recursion,easy,2,divide and conquer
two pointers,easy,1,array
matrix,easy,1,simulation
string matching,hard,7,rolling hash
probability,medium,5,statistics
sorting,medium,5,greedy
tree,hard,6,binary tree
combinatorics,hard,6,probability
string matching,medium,5,rolling hash
segment tree,medium,5,binary indexed tree
sorting,easy,1,binary search
string,hard,6,hash table
sliding window,easy,1,two pointers
shortest path,easy,1,graph theory
number theory,easy,2,combinatorics
divide and conquer,medium,5,segment tree
dynamic programming,easy,2,bitmask
matrix,medium,4,simulation
graph theory,easy,2,shortest path
shortest path,medium,4,graph theory
binary tree,easy,1,depth-first search
breadth-first search,hard,7,graph theory
sliding window,easy,1,two pointers
binary indexed tree,easy,2,range query
rolling hash,medium,5,suffix array
graph theory,easy,2,shortest path
system design,medium,4,concurrency
design,medium,5,system design
rolling hash,easy,1,suffix array
math,medium,5,number theory
matrix,medium,3,simulation
math,hard,6,number theory
hash table,easy,2,graph theory
hash table,hard,6,graph theory
two pointers,hard,7,array
divide and conquer,hard,7,segment tree
binary indexed tree,easy,1,range query
binary search,hard,7,tree
hash table,hard,7,tree
rolling hash,medium,4,suffix array
array,easy,1,hash table
array,easy,1,string
shortest path,medium,4,graph theory
array,easy,2,hash table
linked list,easy,2,doubly-linked list
trie,medium,4,string matching
segment tree,medium,5,binary indexed tree
graph theory,hard,7,shortest path
probability,hard,6,statistics
backtracking,hard,6,recursion
number theory,hard,7,combinatorics
depth-first search,easy,1,breadth-first search
matrix,easy,1,simulation
hash table,easy,2,tree
trie,easy,1,string matching
rolling hash,easy,2,suffix array
math,hard,6,number theory
graph theory,medium,5,minimum spanning tree
divide and conquer,easy,2,segment tree
binary tree,medium,4,depth-first search
backtracking,medium,4,recursion
sorting,easy,1,binary search
system design,easy,2,concurrency
binary indexed tree,medium,4,range query
math,medium,3,number theory
dynamic programming,easy,1,bitmask
monotonic stack,easy,2,sliding window
trie,hard,6,string matching
recursion,hard,6,divide and conquer
shortest path,easy,1,graph theory
backtracking,medium,5,recursion
hash table,hard,6,tree
system design,easy,1,concurrency
design,hard,6,system design
sorting,easy,1,binary search
binary search,easy,1,tree
binary tree,hard,7,depth-first search
string matching,medium,3,rolling hash
string,medium,4,sorting
hash table,easy,2,tree
string,easy,1,hash table
segment tree,easy,2,binary indexed tree
concurrency,easy,2,design
math,easy,1,number theory
system design,medium,4,concurrency
two pointers,hard,7,array
system design,medium,3,concurrency
linked list,medium,3,doubly-linked list
stack,easy,2,monotonic stack
binary search,medium,4,graph theory
shortest path,medium,5,graph theory
sorting,medium,3,greedy
binary search,medium,3,tree
two pointers,easy,2,array
string matching,medium,3,rolling hash
array,easy,2,hash table
dynamic programming,easy,2,bitmask
two pointers,easy,1,array
segment tree,hard,7,binary indexed tree
sorting,hard,6,binary search
binary tree,hard,6,depth-first search
stack,easy,2,monotonic stack
breadth-first search,hard,7,graph theory
math,easy,1,number theory
two pointers,medium,4,array
concurrency,easy,1,design
rolling hash,medium,5,suffix array
bitmask,easy,2,backtracking
rolling hash,easy,2,suffix array
stack,easy,1,monotonic stack
binary tree,hard,6,depth-first search
rolling hash,easy,1,suffix array
concurrency,medium,5,design
simulation,medium,5,design
math,medium,3,number theory
array,easy,2,string
backtracking,medium,3,recursion
concurrency,easy,1,design
shortest path,hard,7,graph theory
binary indexed tree,medium,5,range query
simulation,easy,1,design
two pointers,easy,1,array
two pointers,hard,7,array
monotonic stack,medium,4,sliding window
bitmask,hard,6,backtracking
string,hard,6,sorting
greedy,easy,2,dynamic programming
array,easy,1,string
binary tree,hard,6,depth-first search
binary tree,medium,4,depth-first search
system design,easy,1,concurrency
sorting,easy,1,binary search
hash table,hard,6,graph theory
breadth-first search,medium,4,graph theory
greedy,easy,2,dynamic programming
sliding window,easy,2,two pointers
shortest path,hard,7,graph theory
graph theory,medium,5,shortest path
monotonic stack,medium,4,sliding window
hash table,medium,5,tree
greedy,medium,3,dynamic programming
bitmask,medium,3,backtracking
linked list,hard,6,doubly-linked list
binary tree,hard,7,depth-first search
probability,easy,1,statistics
dynamic programming,easy,1,memoization
combinatorics,easy,2,probability
binary indexed tree,easy,2,range query
shortest path,hard,7,graph theory
string matching,hard,6,rolling hash
linked list,easy,1,doubly-linked list
breadth-first search,hard,7,graph theory
system design,medium,3,concurrency
stack,medium,3,monotonic stack
tree,hard,6,graph theory
greedy,medium,4,dynamic programming
probability,medium,3,statistics
recursion,medium,3,divide and conquer
matrix,medium,5,simulation
binary tree,hard,7,depth-first search
breadth-first search,easy,1,graph theory
stack,medium,4,monotonic stack
math,medium,5,number theory
hash table,hard,6,graph theory
depth-first search,hard,7,breadth-first search
trie,easy,2,string matching
matrix,medium,4,simulation
sliding window,easy,1,two pointers
probability,medium,4,statistics
hash table,easy,2,tree
stack,easy,2,monotonic stack
dynamic programming,medium,3,bitmask
hash table,medium,3,tree
string,medium,4,sorting
binary search,hard,6,tree
binary tree,easy,1,depth-first search
monotonic stack,medium,3,sliding window
greedy,hard,6,dynamic programming
binary search,medium,5,graph theory
hash table,hard,7,graph theory
combinatorics,medium,3,probability
monotonic stack,hard,6,sliding window
hash table,medium,5,tree
depth-first search,easy,2,breadth-first search
monotonic stack,medium,4,sliding window
shortest path,hard,6,graph theory
matrix,medium,4,simulation
stack,medium,5,monotonic stack
probability,easy,2,statistics
shortest path,hard,7,graph theory
simulation,medium,3,design
bitmask,medium,4,backtracking
string,easy,2,hash table
tree,hard,7,graph theory
string,easy,1,hash table
graph theory,medium,5,minimum spanning tree
bitmask,medium,5,backtracking
rolling hash,easy,1,suffix array
bitmask,hard,6,backtracking
bitmask,easy,2,backtracking
design,hard,7,system design
binary indexed tree,easy,2,range query
system design,hard,7,concurrency
simulation,easy,2,design
design,easy,2,system design
recursion,easy,1,divide and conquer
breadth-first search,hard,6,graph theory
sorting,medium,4,greedy
concurrency,easy,1,design
binary search,medium,3,graph theory
bitmask,medium,3,backtracking
concurrency,medium,5,design
number theory,medium,5,combinatorics
monotonic stack,hard,6,sliding window
binary search,hard,7,graph theory
breadth-first search,medium,4,graph theory
simulation,easy,1,design
graph theory,easy,1,shortest path
string,medium,4,sorting
probability,medium,5,statistics
number theory,easy,2,combinatorics
trie,medium,4,string matching
linked list,easy,2,doubly-linked list
number theory,easy,2,combinatorics
bitmask,medium,3,backtracking
math,hard,6,number theory
sliding window,medium,4,two pointers
tree,easy,2,binary tree
breadth-first search,medium,5,graph theory
divide and conquer,medium,3,segment tree
greedy,hard,6,dynamic programming
linked list,easy,1,doubly-linked list
simulation,easy,2,design
depth-first search,medium,3,breadth-first search
divide and conquer,medium,3,segment tree
combinatorics,hard,7,probability
number theory,medium,4,combinatorics
array,medium,4,string
simulation,medium,3,design
monotonic stack,hard,6,sliding window
stack,easy,2,monotonic stack
sorting,medium,5,greedy
array,medium,3,string
segment tree,hard,7,binary indexed tree
system design,easy,2,concurrency
number theory,easy,1,combinatorics
hash table,easy,1,tree
monotonic stack,hard,7,sliding window
math,easy,2,number theory
sliding window,easy,1,two pointers
shortest path,hard,7,graph theory
binary indexed tree,hard,7,range query
breadth-first search,easy,1,graph theory
greedy,medium,5,dynamic programming
sorting,easy,2,greedy
concurrency,hard,6,design
sorting,easy,1,greedy
greedy,hard,6,dynamic programming
graph theory,medium,3,shortest path
bitmask,medium,5,backtracking
string matching,easy,1,rolling hash
linked list,easy,2,doubly-linked list
shortest path,hard,7,graph theory
hash table,medium,5,graph theory
probability,hard,6,statistics
bitmask,hard,6,backtracking
string,medium,4,hash table
matrix,medium,3,simulation
bitmask,hard,6,backtracking
hash table,hard,7,graph theory
backtracking,easy,1,recursion
probability,easy,1,statistics
hash table,easy,1,graph theory
segment tree,easy,1,binary indexed tree
binary tree,medium,4,depth-first search
probability,hard,6,statistics
system design,medium,4,concurrency
trie,medium,5,string matching
combinatorics,medium,3,probability
shortest path,easy,2,graph theory
concurrency,medium,5,design
combinatorics,hard,6,probability
string matching,easy,2,rolling hash
string matching,hard,6,rolling hash
design,medium,4,system design
graph theory,medium,5,shortest path
trie,hard,7,string matching
recursion,easy,2,divide and conquer
binary search,easy,1,graph theory
probability,medium,3,statistics
linked list,easy,1,doubly-linked list
concurrency,medium,3,design
string matching,hard,6,rolling hash
design,medium,3,system design
hash table,hard,7,graph theory
concurrency,hard,6,design
hash table,medium,5,tree
graph theory,medium,5,minimum spanning tree
binary search,hard,7,tree
recursion,medium,5,divide and conquer
combinatorics,hard,6,probability
array,hard,6,hash table
trie,medium,3,string matching
binary tree,easy,2,depth-first search
tree,easy,1,graph theory
greedy,medium,4,dynamic programming
probability,hard,7,statistics
system design,easy,2,concurrency
string matching,easy,2,rolling hash
binary indexed tree,medium,4,range query
binary tree,easy,1,depth-first search
monotonic stack,medium,5,sliding window
number theory,medium,5,combinatorics
dynamic programming,hard,7,memoization
monotonic stack,medium,5,sliding window
backtracking,easy,1,recursion
sorting,medium,3,greedy
stack,medium,5,monotonic stack
graph theory,hard,7,shortest path
linked list,medium,4,doubly-linked list
segment tree,hard,7,binary indexed tree
monotonic stack,medium,3,sliding window
system design,hard,6,concurrency
linked list,medium,3,doubly-linked list
binary search,medium,5,graph theory
string,hard,6,sorting
array,easy,1,string
divide and conquer,hard,7,segment tree
math,easy,2,number theory
binary search,medium,5,tree
backtracking,hard,6,recursion
binary tree,easy,1,depth-first search
math,easy,1,number theory
combinatorics,medium,4,probability
array,hard,6,hash table
two pointers,medium,5,array
string,medium,3,sorting
array,hard,7,string
string,medium,3,hash table
system design,easy,2,concurrency
rolling hash,hard,7,suffix array
string,hard,7,hash table
combinatorics,medium,5,probability
two pointers,easy,2,array
string,easy,1,sorting
divide and conquer,easy,1,segment tree
two pointers,medium,4,array
breadth-first search,medium,4,graph theory
shortest path,easy,2,graph theory
stack,medium,3,monotonic stack
divide and conquer,medium,4,segment tree
backtracking,easy,2,recursion
dynamic programming,hard,7,bitmask
string matching,medium,4,rolling hash
concurrency,hard,7,design
rolling hash,hard,7,suffix array
greedy,hard,6,dynamic programming
shortest path,hard,7,graph theory
shortest path,easy,2,graph theory
sliding window,hard,6,two pointers
recursion,easy,1,divide and conquer
rolling hash,hard,6,suffix array
backtracking,hard,6,recursion
simulation,medium,3,design
matrix,hard,7,simulation
greedy,medium,4,dynamic programming
recursion,medium,3,divide and conquer
tree,medium,5,graph theory
bitmask,hard,7,backtracking
simulation,medium,4,design
backtracking,medium,5,recursion
combinatorics,easy,2,probability
stack,hard,6,monotonic stack
combinatorics,easy,1,probability
binary indexed tree,easy,2,range query
binary tree,medium,3,depth-first search
math,medium,5,number theory
math,medium,4,number theory
string,easy,1,sorting
binary tree,medium,5,depth-first search
number theory,medium,4,combinatorics
graph theory,hard,7,minimum spanning tree
matrix,medium,4,simulation
simulation,easy,1,design
binary indexed tree,medium,5,range query
sorting,easy,1,greedy
binary tree,hard,6,depth-first search
math,medium,3,number theory
divide and conquer,medium,5,segment tree
breadth-first search,medium,3,graph theory
two pointers,easy,2,array
divide and conquer,medium,4,segment tree
breadth-first search,hard,6,graph theory
combinatorics,medium,3,probability
concurrency,easy,1,design
linked list,medium,5,doubly-linked list
breadth-first search,medium,5,graph theory
concurrency,easy,2,design
trie,easy,2,string matching
design,hard,6,system design
recursion,medium,5,divide and conquer
graph theory,medium,4,minimum spanning tree
matrix,medium,5,simulation
shortest path,medium,5,graph theory
binary tree,easy,2,depth-first search
shortest path,easy,1,graph theory
monotonic stack,hard,6,sliding window
rolling hash,easy,1,suffix array
breadth-first search,easy,1,graph theory
hash table,medium,4,graph theory
tree,easy,2,binary tree
backtracking,medium,5,recursion
greedy,medium,3,dynamic programming
breadth-first search,medium,5,graph theory
matrix,medium,3,simulation
math,easy,1,number theory
backtracking,medium,4,recursion
binary search,easy,2,tree
sorting,hard,7,binary search
backtracking,easy,1,recursion
rolling hash,hard,7,suffix array
two pointers,medium,3,array
recursion,easy,1,divide and conquer
binary indexed tree,medium,3,range query
probability,medium,4,statistics
segment tree,medium,3,binary indexed tree
dynamic programming,medium,3,bitmask
rolling hash,medium,5,suffix array
trie,medium,3,string matching
binary indexed tree,hard,6,range query
stack,medium,5,monotonic stack
hash table,easy,1,tree
concurrency,easy,2,design
two pointers,medium,3,array
linked list,hard,6,doubly-linked list
bitmask,easy,2,backtracking
bitmask,medium,3,backtracking
greedy,medium,4,dynamic programming
stack,easy,2,monotonic stack
monotonic stack,medium,5,sliding window
greedy,hard,7,dynamic programming
binary search,medium,5,graph theory
sorting,hard,7,greedy
simulation,easy,1,design
backtracking,hard,7,recursion
segment tree,easy,1,binary indexed tree
linked list,easy,1,doubly-linked list
hash table,medium,5,tree
binary tree,medium,3,depth-first search
hash table,medium,3,graph theory
string matching,medium,5,rolling hash
rolling hash,medium,3,suffix array
concurrency,medium,5,design
trie,hard,6,string matching
hash table,easy,2,graph theory
linked list,easy,2,doubly-linked list
backtracking,medium,5,recursion
greedy,hard,7,dynamic programming
string matching,easy,1,rolling hash
breadth-first search,hard,7,graph theory
sliding window,medium,3,two pointers
combinatorics,hard,6,probability
dynamic programming,easy,1,bitmask
breadth-first search,medium,4,graph theory
system design,hard,6,concurrency
binary tree,medium,3,depth-first search
design,medium,4,system design
design,easy,2,system design
dynamic programming,hard,7,bitmask
array,medium,4,string
shortest path,hard,7,graph theory
shortest path,medium,3,graph theory
sorting,easy,1,greedy
tree,medium,5,graph theory
depth-first search,hard,7,breadth-first search
concurrency,medium,5,design
sliding window,easy,2,two pointers
two pointers,easy,2,array
rolling hash,medium,4,suffix array
string,medium,5,sorting
string,easy,1,hash table
monotonic stack,easy,1,sliding window
backtracking,medium,4,recursion
design,easy,1,system design
depth-first search,easy,1,breadth-first search
string matching,hard,6,rolling hash
binary search,medium,5,graph theory
trie,hard,6,string matching
simulation,medium,5,design
sorting,medium,3,greedy
tree,medium,3,graph theory
two pointers,medium,4,array
recursion,easy,2,divide and conquer
hash table,easy,1,graph theory
rolling hash,medium,5,suffix array
greedy,hard,6,dynamic programming
probability,medium,5,statistics
breadth-first search,hard,7,graph theory
backtracking,medium,3,recursion
combinatorics,medium,4,probability
system design,hard,6,concurrency
combinatorics,hard,7,probability
tree,medium,3,binary tree
graph theory,easy,2,minimum spanning tree
segment tree,hard,6,binary indexed tree
trie,easy,2,string matching
string,easy,2,sorting
segment tree,medium,3,binary indexed tree
number theory,easy,2,combinatorics
concurrency,easy,2,design
segment tree,medium,5,binary indexed tree
greedy,hard,6,dynamic programming
bitmask,hard,6,backtracking
recursion,easy,1,divide and conquer
divide and conquer,medium,5,segment tree
greedy,medium,5,dynamic programming
divide and conquer,hard,6,segment tree
breadth-first search,medium,3,graph theory
binary indexed tree,hard,7,range query
greedy,hard,7,dynamic programming
math,medium,5,number theory
greedy,medium,4,dynamic programming
sorting,hard,6,binary search
hash table,easy,2,graph theory
breadth-first search,hard,7,graph theory
binary search,medium,3,tree
concurrency,easy,1,design
trie,easy,2,string matching
string matching,medium,3,rolling hash
binary indexed tree,medium,4,range query
breadth-first search,hard,7,graph theory
breadth-first search,hard,6,graph theory
binary indexed tree,easy,1,range query
binary indexed tree,medium,5,range query
simulation,medium,3,design
depth-first search,hard,7,breadth-first search
sliding window,easy,1,two pointers
hash table,hard,7,tree
greedy,medium,5,dynamic programming
binary tree,medium,4,depth-first search
probability,easy,1,statistics
string matching,hard,7,rolling hash
trie,hard,7,string matching
greedy,easy,1,dynamic programming
stack,hard,6,monotonic stack
breadth-first search,easy,2,graph theory
shortest path,hard,7,graph theory
string matching,medium,3,rolling hash
probability,hard,6,statistics
graph theory,easy,1,minimum spanning tree
binary tree,medium,5,depth-first search
depth-first search,medium,4,breadth-first search
breadth-first search,hard,7,graph theory
depth-first search,medium,4,breadth-first search
array,easy,1,hash table
segment tree,easy,2,binary indexed tree
depth-first search,medium,5,breadth-first search
number theory,medium,5,combinatorics
binary indexed tree,medium,3,range query
rolling hash,hard,6,suffix array
string matching,medium,3,rolling hash
dynamic programming,easy,1,bitmask
depth-first search,hard,7,breadth-first search
binary search,hard,7,graph theory
shortest path,medium,4,graph theory
matrix,easy,2,simulation
array,easy,2,hash table
binary tree,hard,6,depth-first search
bitmask,medium,3,backtracking
matrix,medium,4,simulation
probability,medium,5,statistics
hash table,easy,2,graph theory
array,easy,2,hash table
simulation,easy,1,design
probability,medium,4,statistics
probability,medium,4,statistics
design,easy,2,system design
segment tree,medium,4,binary indexed tree
sliding window,medium,3,two pointers
divide and conquer,medium,4,segment tree
number theory,easy,1,combinatorics
dynamic programming,easy,2,bitmask
greedy,hard,7,dynamic programming
string,hard,7,sorting
stack,medium,3,monotonic stack
segment tree,hard,7,binary indexed tree
shortest path,medium,4,graph theory
linked list,medium,4,doubly-linked list
probability,medium,4,statistics
divide and conquer,medium,4,segment tree
concurrency,medium,5,design
number theory,medium,4,combinatorics
sorting,medium,3,binary search
sliding window,medium,4,two pointers
rolling hash,medium,3,suffix array
system design,medium,5,concurrency
binary search,hard,7,graph theory
backtracking,easy,1,recursion
divide and conquer,easy,2,segment tree
tree,easy,1,binary tree
tree,medium,5,binary tree
shortest path,easy,1,graph theory
binary search,easy,1,tree
depth-first search,hard,6,breadth-first search
recursion,hard,7,divide and conquer
string matching,hard,7,rolling hash
rolling hash,medium,3,suffix array
linked list,hard,7,doubly-linked list
shortest path,hard,6,graph theory
depth-first search,easy,2,breadth-first search
two pointers,hard,6,array
divide and conquer,easy,1,segment tree
design,hard,6,system design
math,easy,1,number theory
binary indexed tree,medium,3,range query
graph theory,medium,3,minimum spanning tree
shortest path,hard,6,graph theory
binary indexed tree,hard,6,range query
binary search,medium,3,graph theory
combinatorics,easy,2,probability
string,hard,6,sorting
probability,hard,7,statistics
linked list,medium,4,doubly-linked list
breadth-first search,easy,1,graph theory
binary search,easy,1,graph theory
dynamic programming,hard,6,bitmask
stack,medium,5,monotonic stack
greedy,easy,1,dynamic programming
linked list,easy,2,doubly-linked list
monotonic stack,hard,6,sliding window
trie,medium,5,string matching
linked list,hard,6,doubly-linked list
probability,medium,4,statistics
array,hard,7,hash table
rolling hash,medium,3,suffix array
trie,easy,2,string matching
hash table,medium,4,graph theory
stack,hard,7,monotonic stack
string,medium,5,sorting
